,Outlet ID,Territory_x,Area_x,Outlet_x,First purchase week,Quantity(Total),Total_delivery,Week of Analysis,Number of weeks b/n purchase and analysis data,Delievery per week,Dropsize
0,6159f38bbab1dd88bd6a26b9,EAST ADDIS,CMC - GORO, Adane Resraurant,2.0,6,4,19,17.0,0.23529411764705882,0.6666666666666666
1,6159f38bbab1dd88bd6a26ba,ADAMA -ZEWAY-CHERO,ADAMA - WENJI, Cheru Medhanialem Butchery ,1.0,147,44,19,18.0,2.4444444444444446,0.29931972789115646
2,6159f38bbab1dd88bd6a26bd,SOUTH ADDIS,MASELETEGNA - AKAKI- TULU DIMTU, Rame Royal Grocery,8.0,4,4,19,11.0,0.36363636363636365,1.0
3,6159f38bbab1dd88bd6a26be,ADAMA -ZEWAY-CHERO,DUKEM - DEBREZEIT, Shenen Bin Garden ,2.0,24,17,19,17.0,1.0,0.7083333333333334
4,6159f38bbab1dd88bd6a26bf,WEST ADDIS,TOREHAYLOCH - WELETE, Sodo Menech Bar,2.0,6,5,19,17.0,0.29411764705882354,0.8333333333333334
5,6159f38bbab1dd88bd6a26c0,WEST ADDIS,TOREHAYLOCH - WELETE, soresa Grocery,2.0,9,8,19,17.0,0.47058823529411764,0.8888888888888888
6,6159f38bbab1dd88bd6a26c3,EAST ADDIS,MEGENAGNA - JAKROS - GERJI, View Hotel ,4.0,18,19,19,15.0,1.2666666666666666,1.0555555555555556
7,6159f38bbab1dd88bd6a26c6,NORTH - CENTRAL ADDIS,WELOSEFER - OLOMPIA,17 19 Mezenagna Kibeb,1.0,62,21,19,18.0,1.1666666666666667,0.3387096774193548
8,6159f38bbab1dd88bd6a26c9,NORTH - CENTRAL ADDIS,WELOSEFER - OLOMPIA,02/03/35 Meznagna,2.0,33,31,19,17.0,1.8235294117647058,0.9393939393939394
9,6159f38bbab1dd88bd6a26d3,NORTH - CENTRAL ADDIS,MEGENAGNA - KEBENA - KASANCHIS,09mezinagna Kibeb Arada,2.0,6,4,19,17.0,0.23529411764705882,0.6666666666666666
10,6159f38bbab1dd88bd6a26d4,WEST ADDIS,TOREHAYLOCH - ASKO,1 View Hote,7.0,156,39,19,12.0,3.25,0.25
11,6159f38bbab1dd88bd6a26d6,ADAMA -ZEWAY-CHERO,ADAMA - WENJI,105 jambo house,2.0,57,33,19,17.0,1.9411764705882353,0.5789473684210527
12,6159f38bbab1dd88bd6a26d7,WEST ADDIS,LEGEHAR - 18 - AUTOBIS TERA,14tu Megenagna Hotel,11.0,2,1,19,8.0,0.125,0.5
13,6159f38bbab1dd88bd6a26d8,WEST ADDIS,TOREHAYLOCH - ASKO,16 B&R,2.0,2,2,19,17.0,0.11764705882352941,1.0
