Outlet ID,Territory,Area,Outlet,Quantity sold,First Purchesse week,Total_delivery,Week of analysis,Number of weeks b/n purchase and analysis data,Delievery_per_week,Dropsize
6159f38bbab1dd88bd6a26b9,EAST ADDIS,CMC - GORO, Adane Resraurant,6,2,3,22,20,0.15,2
6159f38bbab1dd88bd6a26ba,ADAMA -ZEWAY-CHERO,ADAMA - WENJI, Cheru Medhanialem Butchery ,193,1,23,22,21,1.095238095,8.391304348
6159f38bbab1dd88bd6a26bd,SOUTH ADDIS,MASELETEGNA - AKAKI- TULU DIMTU, Rame Royal Grocery,4,8,2,22,14,0.142857143,2
6159f38bbab1dd88bd6a26be,ADAMA -ZEWAY-CHERO,DUKEM - DEBREZEIT, Shenen Bin Garden ,27,2,11,22,20,0.55,2.454545455
6159f38bbab1dd88bd6a26bf,WEST ADDIS,TOREHAYLOCH - WELETE, Sodo Menech Bar,8,2,6,22,20,0.3,1.333333333
6159f38bbab1dd88bd6a26c0,WEST ADDIS,TOREHAYLOCH - WELETE, soresa Grocery,13,2,10,22,20,0.5,1.3
6159f38bbab1dd88bd6a26c3,EAST ADDIS,MEGENAGNA - JAKROS - GERJI, View Hotel ,18,4,6,22,18,0.333333333,3
6159f38bbab1dd88bd6a26c5,WEST ADDIS,LEGEHAR - 18 - AUTOBIS TERA,01 02 Wastina Shemachoch Halfintu Tetwsene(11) Mez,30,21,1,22,1,1,30
6159f38bbab1dd88bd6a26c6,NORTH - CENTRAL ADDIS,WELOSEFER - OLOMPIA,17 19 Mezenagna Kibeb,67,1,10,22,21,0.476190476,6.7
6159f38bbab1dd88bd6a26c9,NORTH - CENTRAL ADDIS,WELOSEFER - OLOMPIA,02/03/35 Meznagna,36,2,18,22,20,0.9,2
6159f38bbab1dd88bd6a26d3,NORTH - CENTRAL ADDIS,MEGENAGNA - KEBENA - KASANCHIS,09mezinagna Kibeb Arada,6,2,3,22,20,0.15,2
6159f38bbab1dd88bd6a26d4,WEST ADDIS,TOREHAYLOCH - ASKO,1 View Hote,179,7,17,22,15,1.133333333,10.52941176
6159f38bbab1dd88bd6a26d6,ADAMA -ZEWAY-CHERO,ADAMA - WENJI,105 jambo house,64,2,19,22,20,0.95,3.368421053
6159f38bbab1dd88bd6a26d7,WEST ADDIS,LEGEHAR - 18 - AUTOBIS TERA,14tu Megenagna Hotel,2,11,1,22,11,0.090909091,2
6159f38bbab1dd88bd6a26d8,WEST ADDIS,TOREHAYLOCH - ASKO,16 B&R,2,2,1,22,20,0.05,2
6159f38bbab1dd88bd6a26d9,WEST ADDIS,LEGEHAR - 18 - AUTOBIS TERA,16 Shemachoch Mezinagna Kibeb,13,8,3,22,14,0.214285714,4.333333333
6159f38bbab1dd88bd6a26da,NORTH - CENTRAL ADDIS,URAEL - MEGENAGNA,17 17 Bar Ena Restaurant ,19,1,6,22,21,0.285714286,3.166666667
6159f38bbab1dd88bd6a26db,NORTH - CENTRAL ADDIS,MEGENAGNA - KEBENA - KASANCHIS,17/18/32 Meznagna Kebe ,3,17,2,22,5,0.4,1.5
6159f38bbab1dd88bd6a26dc,NORTH - CENTRAL ADDIS,WELOSEFER - OLOMPIA,2 Shi Habesha No.2,75,2,19,22,20,0.95,3.947368421
6159f38bbab1dd88bd6a26de,NORTH - CENTRAL ADDIS,URAEL - MEGENAGNA,2000 Shi Habesha Bahil Migib Adarash,25,11,7,22,11,0.636363636,3.571428571
6159f38bbab1dd88bd6a26df,SOUTH ADDIS,GOTERA - HANAMARIAM,fidel  Bar And Restaurant ,12,17,4,22,5,0.8,3
6159f38bbab1dd88bd6a26e0,ADAMA -ZEWAY-CHERO,ADAMA - MODJO,21 Mazoria Butchery ,163,2,16,22,20,0.8,10.1875
6159f38bbab1dd88bd6a26e2,NORTH - CENTRAL ADDIS,WELOSEFER - OLOMPIA,22 Apre House,27,4,14,22,18,0.777777778,1.928571429
6159f38bbab1dd88bd6a26e3,ADAMA -ZEWAY-CHERO,ADAMA - WENJI,22 Mazoria Megeb Bet,17,6,12,22,16,0.75,1.416666667
6159f38bbab1dd88bd6a26e4,NORTH - CENTRAL ADDIS,WELOSEFER - OLOMPIA,22 Selam AmanB&R,56,11,13,22,11,1.181818182,4.307692308
6159f38bbab1dd88bd6a26e6,NORTH - CENTRAL ADDIS,URAEL - MEGENAGNA,24 Karat Resturant and Lounge ,51,1,18,22,21,0.857142857,2.833333333
6159f38bbab1dd88bd6a26e7,WEST ADDIS,LEGEHAR - 18 - AUTOBIS TERA,24 Meznagna Kbeb,2,5,1,22,17,0.058823529,2
6159f38bbab1dd88bd6a26e9,EAST ADDIS,CMC - GORO,251  Hermila Mini Mart  ,2,16,1,22,6,0.166666667,2
6159f38bbab1dd88bd6a26ea,SOUTH ADDIS,GOTERA - HANAMARIAM,gamini ware Liquor store,30,11,14,22,11,1.272727273,2.142857143
6159f38bbab1dd88bd6a26eb,SOUTH ADDIS,GOTERA - HANAMARIAM,251 Bar (32),69,1,31,22,21,1.476190476,2.225806452
